city,aqi,dominant_pollutant,timestamp,station,lat,lon,pm25,pm10,o3,no2,so2,co
Delhi,269,o3,2015-01-01 00:00:00,Delhi Central,10.523977715124138,88.19841779722289,167,188,53,57,11,13
Delhi,239,pm25,2015-01-04 16:14:32,Delhi Central,23.46130550716207,76.8720809399478,138,209,59,66,30,10
Delhi,238,pm25,2015-01-08 08:29:05,Delhi Central,14.8516867708807,70.25594368199943,155,196,11,32,32,12
Delhi,264,pm10,2015-01-12 00:43:38,Delhi Central,24.515520114875354,80.95471909746959,159,180,67,30,13,10
Delhi,257,pm10,2015-01-15 16:58:10,Delhi Central,14.738272714196894,87.19797917758152,177,260,52,51,18,15
Delhi,232,pm10,2015-01-19 09:12:43,Delhi Central,11.282580602513558,85.30663684649232,115,201,36,58,19,10
Delhi,158,pm25,2015-01-23 01:27:16,Delhi Central,20.0570283780958,83.47033644394749,100,119,44,44,26,9
Delhi,206,no2,2015-01-26 17:41:49,Delhi Central,18.277817733705433,84.1643624404897,98,142,58,12,13,5
Delhi,305,pm10,2015-01-30 09:56:21,Delhi Central,24.472638278114545,74.42183368784998,185,204,65,41,20,11
Delhi,260,pm10,2015-02-03 02:10:54,Delhi Central,19.03623270231291,74.75321169925178,173,210,49,44,30,24
Delhi,326,no2,2015-02-06 18:25:27,Delhi Central,15.681493551945758,73.49213024435609,206,259,82,20,31,9
Delhi,282,pm10,2015-02-10 10:40:00,Delhi Central,10.663062362693474,75.91315031679599,178,252,72,55,29,14
Delhi,216,pm25,2015-02-14 02:54:32,Delhi Central,14.16432862315765,73.54407208749713,130,177,63,14,34,9
Delhi,274,pm25,2015-02-17 19:09:05,Delhi Central,26.13578695254422,75.97357167205017,176,220,39,23,3,14
Delhi,234,pm25,2015-02-21 11:23:38,Delhi Central,23.749233588932587,82.41097625742886,164,204,28,29,18,0
Delhi,263,pm10,2015-02-25 03:38:10,Delhi Central,15.969446780721906,79.40702462216271,200,159,43,31,26,10
Delhi,282,pm25,2015-02-28 19:52:43,Delhi Central,19.561355891137765,86.11339086725577,142,223,63,19,24,6
Delhi,261,o3,2015-03-04 12:07:16,Delhi Central,16.951509749951406,74.19044995340934,180,218,14,55,20,8
Delhi,212,pm25,2015-03-08 04:21:49,Delhi Central,20.13250697242177,72.43676994856011,122,211,32,49,29,14
Delhi,201,pm10,2015-03-11 20:36:21,Delhi Central,21.954402772407477,76.54384023042307,147,140,42,49,24,12
Delhi,308,pm10,2015-03-15 12:50:54,Delhi Central,18.775710314500607,81.57434981625295,219,177,46,54,19,6
Delhi,259,pm25,2015-03-19 05:05:27,Delhi Central,10.537027359540803,83.61709132278163,127,193,59,39,24,4
Delhi,255,pm25,2015-03-22 21:20:00,Delhi Central,24.062701077148922,74.48763591525639,186,176,43,53,29,12
